city,date,trafficIndex,avgSpeed,congestionLevel,accidents,publicTransportUsage
Pune,2013-06-01,170,15.3,46,191,877711
Pune,2013-07-01,168,15.1,47,187,878700
Pune,2013-08-01,163,15.2,46,183,872884
Pune,2013-09-01,169,15.3,47,185,886488
Pune,2013-10-01,163,15.7,45,174,875749
Pune,2013-11-01,162,15.7,45,175,871890
Pune,2013-12-01,161,15.9,44,172,875695
Pune,2014-01-01,162,16.0,43,171,880346
Pune,2014-02-01,161,16.0,44,171,881311
Pune,2014-03-01,163,16.0,44,170,893959
Pune,2014-04-01,163,16.0,44,173,882167
Pune,2014-05-01,162,15.9,45,167,890350
Pune,2014-06-01,168,15.5,47,180,883651
Pune,2014-07-01,165,15.4,46,179,884552
Pune,2014-08-01,164,15.5,45,181,881500
Pune,2014-09-01,165,15.3,46,179,888003
Pune,2014-10-01,162,15.9,44,171,881767
Pune,2014-11-01,159,15.9,44,170,885271
Pune,2014-12-01,162,16.0,44,171,885096
Pune,2015-01-01,157,16.1,43,163,896140
Pune,2015-02-01,160,16.2,43,156,900548
Pune,2015-03-01,158,16.1,43,165,894406
Pune,2015-04-01,159,16.0,42,162,884446
Pune,2015-05-01,160,16.2,43,166,901540
Pune,2015-06-01,163,15.6,44,177,889367
Pune,2015-07-01,164,15.8,45,173,897153
Pune,2015-08-01,159,15.8,45,178,888667
Pune,2015-09-01,164,15.5,45,172,891620
Pune,2015-10-01,157,16.0,43,159,892409
Pune,2015-11-01,155,16.3,44,161,891613
Pune,2015-12-01,158,16.2,43,164,897674
Pune,2016-01-01,156,16.2,42,160,902917
Pune,2016-02-01,155,16.4,42,165,908568
Pune,2016-03-01,156,16.4,42,163,905219
Pune,2016-04-01,154,16.4,41,161,914151
Pune,2016-05-01,162,16.4,41,160,906606
Pune,2016-06-01,159,16.0,44,169,899656
Pune,2016-07-01,160,16.0,44,176,910482
Pune,2016-08-01,159,15.7,44,162,912705
Pune,2016-09-01,158,15.8,43,167,907278
Pune,2016-10-01,156,16.3,42,155,904602
Pune,2016-11-01,159,16.3,42,160,904356
Pune,2016-12-01,152,16.4,43,166,914759
Pune,2017-01-01,156,16.5,41,157,922807
Pune,2017-02-01,152,16.6,42,156,907580
Pune,2017-03-01,154,16.5,41,156,916947
Pune,2017-04-01,155,16.5,41,152,918889
Pune,2017-05-01,154,16.8,41,155,917307
Pune,2017-06-01,163,16.1,43,167,911168
Pune,2017-07-01,157,16.2,44,163,921654
Pune,2017-08-01,157,16.0,43,162,916471
Pune,2017-09-01,157,16.3,44,168,915840
Pune,2017-10-01,156,16.7,40,160,918288
Pune,2017-11-01,151,16.5,42,155,918167
Pune,2017-12-01,154,16.5,41,159,917087
Pune,2018-01-01,150,16.8,40,152,935268
Pune,2018-02-01,153,16.8,39,155,925816
Pune,2018-03-01,154,16.9,41,148,922315
Pune,2018-04-01,151,16.8,40,149,929730
Pune,2018-05-01,156,16.9,40,150,928642
Pune,2018-06-01,155,16.3,43,163,931422
Pune,2018-07-01,158,16.1,42,158,922154
Pune,2018-08-01,158,16.2,41,162,922157
Pune,2018-09-01,159,16.4,42,157,923168
Pune,2018-10-01,154,16.9,39,150,922735
Pune,2018-11-01,151,16.7,40,150,920949
Pune,2018-12-01,151,16.8,40,154,932186
Pune,2019-01-01,148,17.0,39,146,940173
Pune,2019-02-01,149,17.1,39,148,930140
Pune,2019-03-01,153,16.9,39,146,936077
Pune,2019-04-01,151,17.1,38,146,930598
Pune,2019-05-01,151,17.0,39,142,945542
Pune,2019-06-01,153,16.5,40,154,942624
Pune,2019-07-01,159,16.6,41,153,947705
Pune,2019-08-01,157,16.5,41,153,937229
Pune,2019-09-01,154,16.4,41,155,932568
Pune,2019-10-01,150,17.0,40,142,935481
Pune,2019-11-01,152,17.0,39,142,929036
Pune,2019-12-01,151,17.0,39,143,938460
Pune,2020-01-01,143,17.1,39,143,951758
Pune,2020-02-01,147,17.3,37,138,950259
Pune,2020-03-01,145,17.2,37,143,942107
Pune,2020-04-01,150,17.3,38,141,945516
Pune,2020-05-01,151,17.4,38,144,944978
Pune,2020-06-01,155,16.6,40,150,946133
Pune,2020-07-01,156,16.8,40,144,950299
Pune,2020-08-01,152,16.9,40,151,939068
Pune,2020-09-01,154,16.8,39,149,945117
Pune,2020-10-01,154,17.1,38,136,952906
Pune,2020-11-01,147,17.4,38,139,947306
Pune,2020-12-01,147,17.2,39,139,959887
Pune,2021-01-01,146,17.5,37,136,955507
Pune,2021-02-01,147,17.2,37,138,960870
Pune,2021-03-01,141,17.2,37,138,963638
Pune,2021-04-01,145,17.3,37,136,962196
Pune,2021-05-01,145,17.4,37,133,957204
Pune,2021-06-01,146,16.9,39,145,953490
Pune,2021-07-01,156,16.9,39,144,963444
Pune,2021-08-01,152,16.9,40,145,962977
Pune,2021-09-01,153,17.0,39,142,958583
Pune,2021-10-01,146,17.4,38,133,954848
Pune,2021-11-01,145,17.5,37,134,952774
Pune,2021-12-01,145,17.2,36,133,954570
Pune,2022-01-01,143,17.5,36,129,958035
Pune,2022-02-01,141,17.7,36,130,964444
Pune,2022-03-01,146,17.5,36,128,970223
Pune,2022-04-01,143,17.5,36,129,973856
Pune,2022-05-01,145,17.6,36,131,961619
Pune,2022-06-01,147,17.1,38,142,958915
Pune,2022-07-01,145,17.2,38,141,964085
Pune,2022-08-01,150,16.9,37,142,963213
Pune,2022-09-01,148,17.2,38,135,975439
Pune,2022-10-01,144,17.5,36,130,965634
Pune,2022-11-01,145,17.5,36,129,965030
Pune,2022-12-01,141,17.5,36,127,968306
Pune,2023-01-01,141,17.8,35,120,967474
Pune,2023-02-01,145,17.9,35,120,974741
Pune,2023-03-01,145,17.9,34,126,971958
Pune,2023-04-01,144,18.0,35,124,973594
Pune,2023-05-01,143,17.8,35,126,972206
Pune,2023-06-01,147,17.2,37,137,977246
Pune,2023-07-01,145,17.4,37,134,981618
Pune,2023-08-01,148,17.4,36,130,976347
Pune,2023-09-01,145,17.5,36,135,974181
Pune,2023-10-01,140,18.0,35,126,988348
Pune,2023-11-01,145,17.8,34,127,972646
Pune,2023-12-01,143,17.7,35,121,974185
Pune,2024-01-01,139,17.9,35,118,981285
Pune,2024-02-01,139,18.0,34,124,985381
Pune,2024-03-01,139,17.9,34,119,993028
Pune,2024-04-01,140,18.2,34,120,982741
Pune,2024-05-01,136,18.1,33,119,990329
Pune,2024-06-01,141,17.9,35,127,988740
Pune,2024-07-01,148,17.5,35,133,992076
Pune,2024-08-01,145,17.6,37,135,992076
Pune,2024-09-01,147,17.5,36,129,981724
Pune,2024-10-01,142,18.0,34,121,987232
Pune,2024-11-01,141,17.9,34,120,993851
Pune,2024-12-01,138,18.0,35,120,978938
Pune,2025-01-01,136,18.1,34,124,998383
Pune,2025-02-01,138,18.2,33,116,993136
Pune,2025-03-01,132,18.4,33,111,992484
Pune,2025-04-01,139,18.3,33,120,992718
Pune,2025-05-01,140,18.4,32,119,997908
Pune,2025-06-01,144,17.9,35,124,998195
Pune,2025-07-01,140,17.5,35,128,995553
Pune,2025-08-01,144,17.8,36,125,985487
Pune,2025-09-01,142,17.7,35,125,993266
Pune,2025-10-01,137,18.1,34,120,997252
Pune,2025-11-01,134,18.2,33,123,997659
Pune,2025-12-01,139,18.2,33,117,994862
Pune,2026-01-01,134,18.3,31,117,1006464
